id,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,classe,desemprego,Pop_ativa_est_2009,estimat_pop_desemprego
2172,328,RIO GRANDE DO SUL,Vespasiano Correa,2010,39798.56640625,1967,20233.13085938,2,4.3,1200,52
2812,329,RIO GRANDE DO SUL,Camaquã,2010,1060406.25,62723,16906.1796875,2,5.6,43906,2459
1712,330,RIO GRANDE DO SUL,Chuvisca,2010,69552.2109375,5159,13481.71972656,2,5.2,3611,188
2076,331,SANTA CATARINA,Salete,2010,101054.3828125,7737,13061.1796875,2,6.3,5068,319
2018,332,RIO GRANDE DO SUL,São Valentim do Sul,2010,34529.40234375,2336,14781.41992188,2,3.6,1635,59
2815,333,AMAZONAS,Atalaia do Norte,2010,54603.19140625,14715,3710.7199707,1,7.3,10301,752
2942,334,RIO GRANDE DO SUL,Floriano Peixoto,2010,29052.140625,2155,13481.26953125,2,4.8,1509,72
3652,335,RIO GRANDE DO SUL,Charrua,2010,44772.2265625,3642,12293.30957031,2,5.4,2386,129
5351,336,RIO GRANDE DO SUL,Ciríaco,2010,68954.5859375,5020,13735.96972656,2,5.1,3514,179
1505,337,RIO GRANDE DO SUL,Sananduva,2010,277202.40625,15216,18217.8203125,2,3.4,9282,316
